"lsoa11cd","lad19cd","income_score","income_rank","income_decile"
"E01013503","E06000015",0.109,15088,5
"E01013504","E06000015",0.229,5021,2
"E01013505","E06000015",0.075,20388,7
"E01013506","E06000015",0.121,13556,5
"E01013507","E06000015",0.075,20435,7
"E01013508","E06000015",0.209,6130,2
"E01013509","E06000015",0.092,17532,6
"E01013510","E06000015",0.226,5217,2
"E01013511","E06000015",0.048,26765,9
"E01013512","E06000015",0.22,5504,2
"E01013513","E06000015",0.173,8532,3
"E01013514","E06000015",0.053,25366,8
"E01013515","E06000015",0.144,11103,4
"E01013517","E06000015",0.149,10607,4
"E01013518","E06000015",0.086,18523,6
"E01013519","E06000015",0.128,12736,4
"E01013520","E06000015",0.035,29852,10
"E01013521","E06000015",0.24,4498,2
"E01013522","E06000015",0.196,6926,3
"E01013523","E06000015",0.193,7141,3
"E01013524","E06000015",0.124,13205,5
"E01013525","E06000015",0.125,13132,4
"E01013526","E06000015",0.05,26070,8
"E01013527","E06000015",0.02,32251,10
"E01013528","E06000015",0.091,17708,6
"E01013529","E06000015",0.102,15984,5
"E01013530","E06000015",0.118,13937,5
"E01013531","E06000015",0.185,7698,3
"E01013532","E06000015",0.165,9245,3
"E01013533","E06000015",0.38,598,1
"E01013534","E06000015",0.126,13026,4
"E01013535","E06000015",0.377,628,1
"E01013536","E06000015",0.34,1207,1
"E01013537","E06000015",0.131,12369,4
"E01013538","E06000015",0.211,6027,2
"E01013539","E06000015",0.031,30578,10
"E01013540","E06000015",0.054,25147,8
"E01013541","E06000015",0.147,10711,4
"E01013542","E06000015",0.107,15374,5
"E01013543","E06000015",0.026,31496,10
"E01013544","E06000015",0.031,30666,10
"E01013545","E06000015",0.115,14353,5
"E01013546","E06000015",0.071,21366,7
"E01013547","E06000015",0.121,13558,5
"E01013548","E06000015",0.158,9779,3
"E01013549","E06000015",0.142,11266,4
"E01013550","E06000015",0.271,3185,1
"E01013551","E06000015",0.076,20246,7
"E01013552","E06000015",0.231,4969,2
"E01013553","E06000015",0.149,10592,4
"E01013554","E06000015",0.189,7377,3
"E01013555","E06000015",0.124,13183,5
"E01013556","E06000015",0.031,30659,10
"E01013557","E06000015",0.032,30339,10
"E01013558","E06000015",0.074,20677,7
"E01013559","E06000015",0.04,28698,9
"E01013560","E06000015",0.03,30827,10
"E01013561","E06000015",0.037,29410,9
"E01013562","E06000015",0.114,14420,5
"E01013563","E06000015",0.044,27645,9
"E01013564","E06000015",0.034,30005,10
"E01013565","E06000015",0.241,4417,2
"E01013566","E06000015",0.352,992,1
"E01013567","E06000015",0.315,1798,1
"E01013568","E06000015",0.295,2378,1
"E01013569","E06000015",0.252,3933,2
"E01013570","E06000015",0.271,3189,1
"E01013571","E06000015",0.238,4606,2
"E01013572","E06000015",0.148,10673,4
"E01013573","E06000015",0.292,2473,1
"E01013574","E06000015",0.017,32443,10
"E01013575","E06000015",0.047,26892,9
"E01013576","E06000015",0.043,27898,9
"E01013577","E06000015",0.027,31350,10
"E01013578","E06000015",0.04,28649,9
"E01013579","E06000015",0.044,27571,9
"E01013580","E06000015",0.054,25094,8
"E01013581","E06000015",0.202,6561,2
"E01013582","E06000015",0.128,12792,4
"E01013583","E06000015",0.317,1745,1
"E01013584","E06000015",0.339,1218,1
"E01013585","E06000015",0.277,2975,1
"E01013586","E06000015",0.292,2462,1
"E01013587","E06000015",0.108,15164,5
"E01013588","E06000015",0.233,4863,2
"E01013589","E06000015",0.108,15171,5
"E01013590","E06000015",0.356,922,1
"E01013591","E06000015",0.371,704,1
"E01013592","E06000015",0.055,24830,8
"E01013593","E06000015",0.051,25904,8
"E01013594","E06000015",0.063,23063,8
"E01013595","E06000015",0.135,12056,4
"E01013596","E06000015",0.041,28265,9
"E01013597","E06000015",0.225,5232,2
"E01013598","E06000015",0.18,8004,3
"E01013599","E06000015",0.038,28979,9
"E01033166","E06000015",0.288,2601,1
"E01033167","E06000015",0.387,531,1
"E01033168","E06000015",0.037,29418,9
"E01033169","E06000015",0.028,31093,10
"E01033170","E06000015",0.058,24280,8
"E01033171","E06000015",0.099,16447,6
"E01033172","E06000015",0.189,7405,3
"E01019594","E07000035",0.109,15089,5
"E01019595","E07000035",0.044,27669,9
"E01019596","E07000035",0.083,18993,6
"E01019597","E07000035",0.051,25855,8
"E01019598","E07000035",0.092,17583,6
"E01019599","E07000035",0.035,29749,10
"E01019600","E07000035",0.055,24996,8
"E01019601","E07000035",0.098,16636,6
"E01019602","E07000035",0.054,25151,8
"E01019603","E07000035",0.03,30783,10
"E01019604","E07000035",0.047,26788,9
"E01019605","E07000035",0.046,27120,9
"E01019606","E07000035",0.039,28767,9
"E01019607","E07000035",0.032,30320,10
"E01019608","E07000035",0.114,14410,5
"E01019609","E07000035",0.06,23725,8
"E01019610","E07000035",0.035,29881,10
"E01019611","E07000035",0.052,25566,8
"E01019612","E07000035",0.044,27727,9
"E01019613","E07000035",0.048,26597,9
"E01019614","E07000035",0.028,31222,10
"E01019615","E07000035",0.063,23123,8
"E01019616","E07000035",0.042,28057,9
"E01019617","E07000035",0.075,20536,7
"E01019618","E07000035",0.038,28974,9
"E01019619","E07000035",0.101,16170,5
"E01019620","E07000035",0.056,24672,8
"E01019621","E07000035",0.064,22899,7
"E01019622","E07000035",0.047,26832,9
"E01019623","E07000035",0.133,12208,4
"E01019624","E07000035",0.046,27067,9
"E01019625","E07000035",0.292,2475,1
"E01019626","E07000035",0.054,25161,8
"E01019627","E07000035",0.061,23414,8
"E01019628","E07000035",0.088,18140,6
"E01019629","E07000035",0.048,26569,9
"E01019630","E07000035",0.069,21759,7
"E01019631","E07000035",0.063,22963,7
"E01019632","E07000035",0.05,26141,8
"E01019633","E07000035",0.14,11410,4
"E01019634","E07000035",0.088,18253,6
"E01019635","E07000035",0.037,29355,9
"E01019636","E07000035",0.095,17123,6
"E01007464","E08000017",0.242,4404,2
"E01007465","E08000017",0.165,9169,3
"E01007466","E08000017",0.327,1506,1
"E01007467","E08000017",0.177,8254,3
"E01007468","E08000017",0.057,24353,8
"E01007469","E08000017",0.111,14748,5
"E01007470","E08000017",0.199,6752,3
"E01007471","E08000017",0.069,21790,7
"E01007472","E08000017",0.315,1802,1
"E01007473","E08000017",0.198,6756,3
"E01007474","E08000017",0.312,1901,1
"E01007475","E08000017",0.036,29520,9
"E01007476","E08000017",0.122,13454,5
"E01007477","E08000017",0.068,21942,7
"E01007478","E08000017",0.102,16090,5
"E01007479","E08000017",0.169,8851,3
"E01007480","E08000017",0.174,8475,3
"E01007482","E08000017",0.231,4950,2
"E01007483","E08000017",0.075,20505,7
"E01007484","E08000017",0.124,13214,5
"E01007485","E08000017",0.047,26906,9
"E01007486","E08000017",0.08,19635,6
"E01007487","E08000017",0.163,9399,3
"E01007488","E08000017",0.119,13861,5
"E01007489","E08000017",0.138,11649,4
"E01007490","E08000017",0.155,10032,4
"E01007491","E08000017",0.289,2561,1
"E01007492","E08000017",0.255,3813,2
"E01007493","E08000017",0.069,21693,7
"E01007494","E08000017",0.171,8704,3
"E01007495","E08000017",0.271,3198,1
"E01007496","E08000017",0.342,1169,1
"E01007497","E08000017",0.225,5235,2
"E01007498","E08000017",0.227,5150,2
"E01007499","E08000017",0.324,1554,1
"E01007500","E08000017",0.265,3401,2
"E01007501","E08000017",0.099,16449,6
"E01007502","E08000017",0.057,24500,8
"E01007503","E08000017",0.065,22545,7
"E01007504","E08000017",0.19,7309,3
"E01007505","E08000017",0.108,15238,5
"E01007506","E08000017",0.248,4143,2
"E01007507","E08000017",0.338,1244,1
"E01007508","E08000017",0.322,1623,1
"E01007509","E08000017",0.306,2038,1
"E01007510","E08000017",0.176,8329,3
"E01007511","E08000017",0.319,1684,1
"E01007512","E08000017",0.096,16890,6
"E01007513","E08000017",0.136,11836,4
"E01007514","E08000017",0.211,6017,2
"E01007515","E08000017",0.165,9153,3
"E01007516","E08000017",0.09,17978,6
"E01007517","E08000017",0.209,6132,2
"E01007518","E08000017",0.099,16535,6
"E01007519","E08000017",0.119,13758,5
"E01007520","E08000017",0.056,24625,8
"E01007521","E08000017",0.085,18644,6
"E01007522","E08000017",0.264,3427,2
"E01007523","E08000017",0.073,20906,7
"E01007524","E08000017",0.057,24388,8
"E01007525","E08000017",0.207,6237,2
"E01007526","E08000017",0.057,24392,8
"E01007527","E08000017",0.051,25883,8
"E01007528","E08000017",0.215,5820,2
"E01007529","E08000017",0.297,2291,1
"E01007530","E08000017",0.232,4896,2
"E01007531","E08000017",0.262,3521,2
"E01007532","E08000017",0.409,332,1
"E01007533","E08000017",0.181,7963,3
"E01007534","E08000017",0.275,3054,1
"E01007535","E08000017",0.191,7216,3
"E01007536","E08000017",0.111,14801,5
"E01007537","E08000017",0.148,10645,4
"E01007538","E08000017",0.161,9510,3
"E01007539","E08000017",0.273,3124,1
"E01007540","E08000017",0.147,10730,4
"E01007541","E08000017",0.173,8599,3
"E01007542","E08000017",0.286,2676,1
"E01007543","E08000017",0.333,1363,1
"E01007544","E08000017",0.432,196,1
"E01007545","E08000017",0.146,10894,4
"E01007546","E08000017",0.214,5886,2
"E01007547","E08000017",0.28,2871,1
"E01007548","E08000017",0.251,3953,2
"E01007549","E08000017",0.244,4324,2
"E01007550","E08000017",0.186,7582,3
"E01007551","E08000017",0.061,23398,8
"E01007552","E08000017",0.063,22927,7
"E01007553","E08000017",0.078,19867,7
"E01007554","E08000017",0.089,18108,6
"E01007555","E08000017",0.266,3358,2
"E01007556","E08000017",0.236,4708,2
"E01007557","E08000017",0.069,21738,7
"E01007558","E08000017",0.123,13332,5
"E01007559","E08000017",0.146,10901,4
"E01007560","E08000017",0.073,20844,7
"E01007561","E08000017",0.044,27570,9
"E01007562","E08000017",0.122,13426,5
"E01007563","E08000017",0.274,3080,1
"E01007564","E08000017",0.249,4076,2
"E01007565","E08000017",0.055,24824,8
"E01007566","E08000017",0.297,2309,1
"E01007567","E08000017",0.169,8841,3
"E01007568","E08000017",0.302,2140,1
"E01007569","E08000017",0.24,4496,2
"E01007570","E08000017",0.085,18712,6
"E01007571","E08000017",0.181,7950,3
"E01007572","E08000017",0.181,7937,3
"E01007573","E08000017",0.316,1791,1
"E01007574","E08000017",0.258,3696,2
"E01007575","E08000017",0.405,354,1
"E01007576","E08000017",0.133,12236,4
"E01007577","E08000017",0.359,883,1
"E01007578","E08000017",0.235,4774,2
"E01007579","E08000017",0.166,9135,3
"E01007580","E08000017",0.119,13796,5
"E01007581","E08000017",0.036,29467,9
"E01007582","E08000017",0.063,23119,8
"E01007583","E08000017",0.064,22834,7
"E01007584","E08000017",0.118,13965,5
"E01007585","E08000017",0.1,16360,5
"E01007586","E08000017",0.06,23814,8
"E01007587","E08000017",0.119,13772,5
"E01007588","E08000017",0.118,13913,5
"E01007589","E08000017",0.078,19939,7
"E01007590","E08000017",0.204,6451,2
"E01007591","E08000017",0.169,8886,3
"E01007592","E08000017",0.265,3406,2
"E01007593","E08000017",0.221,5476,2
"E01007594","E08000017",0.064,22816,7
"E01007595","E08000017",0.178,8158,3
"E01007596","E08000017",0.053,25517,8
"E01007597","E08000017",0.306,2032,1
"E01007598","E08000017",0.082,19217,6
"E01007599","E08000017",0.052,25776,8
"E01007600","E08000017",0.03,30869,10
"E01007601","E08000017",0.052,25625,8
"E01007602","E08000017",0.043,27840,9
"E01007603","E08000017",0.054,25201,8
"E01007604","E08000017",0.041,28301,9
"E01007605","E08000017",0.059,23866,8
"E01007606","E08000017",0.032,30383,10
"E01007607","E08000017",0.17,8778,3
"E01007608","E08000017",0.135,12049,4
"E01007609","E08000017",0.105,15694,5
"E01007610","E08000017",0.049,26418,9
"E01007611","E08000017",0.097,16748,6
"E01007612","E08000017",0.059,24014,8
"E01007613","E08000017",0.066,22280,7
"E01007614","E08000017",0.068,21978,7
"E01007615","E08000017",0.091,17765,6
"E01007616","E08000017",0.091,17704,6
"E01007617","E08000017",0.03,30767,10
"E01007618","E08000017",0.052,25553,8
"E01007619","E08000017",0.021,32123,10
"E01007620","E08000017",0.069,21731,7
"E01007621","E08000017",0.058,24160,8
"E01007622","E08000017",0.05,26044,8
"E01007623","E08000017",0.15,10504,4
"E01007624","E08000017",0.049,26447,9
"E01007625","E08000017",0.07,21466,7
"E01007626","E08000017",0.338,1252,1
"E01007627","E08000017",0.242,4387,2
"E01007628","E08000017",0.278,2949,1
"E01007629","E08000017",0.356,931,1
"E01007630","E08000017",0.103,15955,5
"E01007631","E08000017",0.027,31340,10
"E01007632","E08000017",0.169,8863,3
"E01007633","E08000017",0.228,5070,2
"E01007634","E08000017",0.291,2506,1
"E01007635","E08000017",0.248,4142,2
"E01007636","E08000017",0.233,4829,2
"E01007637","E08000017",0.13,12555,4
"E01007638","E08000017",0.216,5748,2
"E01007639","E08000017",0.161,9512,3
"E01007640","E08000017",0.111,14859,5
"E01007641","E08000017",0.135,11948,4
"E01007642","E08000017",0.209,6156,2
"E01007643","E08000017",0.317,1760,1
"E01007644","E08000017",0.099,16416,5
"E01007645","E08000017",0.247,4180,2
"E01007646","E08000017",0.147,10709,4
"E01007647","E08000017",0.123,13298,5
"E01007648","E08000017",0.266,3376,2
"E01007649","E08000017",0.097,16790,6
"E01007650","E08000017",0.129,12610,4
"E01007651","E08000017",0.201,6633,3
"E01007652","E08000017",0.288,2582,1
"E01007653","E08000017",0.126,12976,4
"E01007654","E08000017",0.191,7247,3
"E01007655","E08000017",0.23,4974,2
"E01007656","E08000017",0.208,6221,2
"E01033259","E08000017",0.072,21162,7
"E01033260","E08000017",0.114,14448,5
"E01020373","E06000059",0.078,19977,7
"E01020374","E06000059",0.033,30310,10
"E01020375","E06000059",0.089,18034,6
"E01020376","E06000059",0.051,25820,8
"E01020377","E06000059",0.018,32372,10
"E01020378","E06000059",0.054,25235,8
"E01020379","E06000059",0.099,16507,6
"E01020380","E06000059",0.012,32729,10
"E01020381","E06000059",0.028,31157,10
"E01020382","E06000059",0.038,28991,9
"E01020383","E06000059",0.036,29494,9
"E01020384","E06000059",0.049,26483,9
"E01020385","E06000059",0.072,21194,7
"E01020386","E06000059",0.026,31467,10
"E01020387","E06000059",0.021,32164,10
"E01020388","E06000059",0.099,16476,6
"E01020389","E06000059",0.087,18410,6
"E01020390","E06000059",0.087,18314,6
"E01020391","E06000059",0.042,28089,9
"E01020392","E06000059",0.094,17213,6
"E01020393","E06000059",0.207,6225,2
"E01020394","E06000059",0.152,10289,4
"E01020395","E06000059",0.038,29174,9
"E01020396","E06000059",0.054,25164,8
"E01020397","E06000059",0.082,19265,6
"E01020398","E06000059",0.039,28838,9
"E01020399","E06000059",0.056,24594,8
"E01020400","E06000059",0.049,26386,9
"E01020401","E06000059",0.033,30211,10
"E01020402","E06000059",0.035,29768,10
"E01020403","E06000059",0.047,26985,9
"E01020404","E06000059",0.055,24835,8
"E01020405","E06000059",0.061,23500,8
"E01020406","E06000059",0.029,31051,10
"E01020407","E06000059",0.049,26292,9
"E01020408","E06000059",0.072,21154,7
"E01020409","E06000059",0.04,28678,9
"E01020410","E06000059",0.064,22732,7
"E01020411","E06000059",0.153,10185,4
"E01020412","E06000059",0.134,12062,4
"E01020413","E06000059",0.043,27881,9
"E01020414","E06000059",0.067,22142,7
"E01020415","E06000059",0.033,30199,10
"E01020416","E06000059",0.054,25087,8
"E01020417","E06000059",0.037,29217,9
"E01020418","E06000059",0.032,30517,10
"E01020419","E06000059",0.037,29257,9
"E01020420","E06000059",0.05,26187,8
"E01020421","E06000059",0.074,20687,7
"E01020422","E06000059",0.12,13723,5
"E01020423","E06000059",0.05,26165,8
"E01020424","E06000059",0.096,16975,6
"E01020425","E06000059",0.073,20945,7
"E01020426","E06000059",0.043,27915,9
"E01020427","E06000059",0.155,10075,4
"E01020428","E06000059",0.119,13835,5
"E01020429","E06000059",0.107,15408,5
"E01020430","E06000059",0.076,20322,7
"E01020431","E06000059",0.062,23134,8
"E01020432","E06000059",0.072,21088,7
"E01020433","E06000059",0.065,22536,7
"E01020434","E06000059",0.103,15912,5
"E01020435","E06000059",0.051,26036,8
"E01020436","E06000059",0.08,19476,6
"E01020437","E06000059",0.11,14924,5
"E01020438","E06000059",0.131,12434,4
"E01020439","E06000059",0.139,11548,4
"E01020440","E06000059",0.061,23423,8
"E01020441","E06000059",0.085,18735,6
"E01020442","E06000059",0.054,25059,8
"E01020443","E06000059",0.13,12483,4
"E01020444","E06000059",0.113,14522,5
"E01020445","E06000059",0.027,31308,10
"E01020446","E06000059",0.052,25710,8
"E01020447","E06000059",0.114,14400,5
"E01020448","E06000059",0.071,21378,7
"E01020449","E06000059",0.075,20457,7
"E01020450","E06000059",0.049,26461,9
"E01020452","E06000059",0.087,18429,6
"E01020453","E06000059",0.086,18540,6
"E01020454","E06000059",0.13,12473,4
"E01020455","E06000059",0.105,15683,5
"E01020456","E06000059",0.105,15697,5
"E01020457","E06000059",0.047,26971,9
"E01020458","E06000059",0.055,24975,8
"E01020459","E06000059",0.119,13782,5
"E01020460","E06000059",0.068,21977,7
"E01020462","E06000059",0.064,22914,7
"E01020463","E06000059",0.04,28557,9
"E01020464","E06000059",0.06,23650,8
"E01020465","E06000059",0.09,17861,6
"E01020466","E06000059",0.085,18624,6
"E01020467","E06000059",0.044,27683,9
"E01020468","E06000059",0.052,25554,8
"E01020469","E06000059",0.104,15756,5
"E01020470","E06000059",0.042,28118,9
"E01020471","E06000059",0.108,15184,5
"E01020472","E06000059",0.114,14417,5
"E01020473","E06000059",0.085,18670,6
"E01020474","E06000059",0.065,22694,7
"E01020475","E06000059",0.078,19955,7
"E01020476","E06000059",0.078,19911,7
"E01020477","E06000059",0.08,19589,6
"E01020478","E06000059",0.049,26508,9
"E01020479","E06000059",0.085,18775,6
"E01020480","E06000059",0.077,20102,7
"E01020481","E06000059",0.081,19369,6
"E01020482","E06000059",0.104,15800,5
"E01020483","E06000059",0.132,12314,4
"E01020484","E06000059",0.118,13977,5
"E01020485","E06000059",0.127,12885,4
"E01020486","E06000059",0.08,19550,6
"E01020487","E06000059",0.05,26197,8
"E01020488","E06000059",0.107,15282,5
"E01020489","E06000059",0.059,23877,8
"E01020490","E06000059",0.072,21050,7
"E01020491","E06000059",0.067,22049,7
"E01020492","E06000059",0.081,19366,6
"E01020493","E06000059",0.079,19792,7
"E01020494","E06000059",0.074,20721,7
"E01020495","E06000059",0.081,19361,6
"E01020496","E06000059",0.161,9523,3
"E01020497","E06000059",0.059,23854,8
"E01020498","E06000059",0.083,19027,6
"E01020499","E06000059",0.2,6653,3
"E01020500","E06000059",0.109,15114,5
"E01020501","E06000059",0.074,20779,7
"E01020502","E06000059",0.189,7358,3
"E01020503","E06000059",0.128,12704,4
"E01020504","E06000059",0.053,25394,8
"E01020505","E06000059",0.052,25785,8
"E01020506","E06000059",0.089,18009,6
"E01020507","E06000059",0.058,24276,8
"E01020508","E06000059",0.046,27025,9
"E01020509","E06000059",0.051,26001,8
"E01020510","E06000059",0.096,17012,6
"E01020511","E06000059",0.082,19244,6
"E01020512","E06000059",0.069,21792,7
"E01020513","E06000059",0.108,15232,5
"E01020514","E06000059",0.061,23363,8
"E01020515","E06000059",0.073,20957,7
"E01020516","E06000059",0.1,16269,5
"E01020517","E06000059",0.062,23194,8
"E01020518","E06000059",0.174,8494,3
"E01020519","E06000059",0.073,20818,7
"E01020520","E06000059",0.07,21449,7
"E01020523","E06000059",0.032,30453,10
"E01020524","E06000059",0.05,26068,8
"E01020525","E06000059",0.025,31574,10
"E01020526","E06000059",0.072,21060,7
"E01020527","E06000059",0.111,14785,5
"E01020528","E06000059",0.126,12949,4
"E01020529","E06000059",0.062,23343,8
"E01020530","E06000059",0.067,22261,7
"E01020531","E06000059",0.049,26339,9
"E01020532","E06000059",0.075,20444,7
"E01020533","E06000059",0.13,12521,4
"E01020534","E06000059",0.076,20324,7
"E01020535","E06000059",0.081,19393,6
"E01020536","E06000059",0.098,16628,6
"E01020537","E06000059",0.059,24056,8
"E01020538","E06000059",0.082,19136,6
"E01020539","E06000059",0.068,21859,7
"E01020540","E06000059",0.058,24120,8
"E01020541","E06000059",0.075,20575,7
"E01020542","E06000059",0.089,18043,6
"E01020543","E06000059",0.202,6534,2
"E01020544","E06000059",0.078,19940,7
"E01020546","E06000059",0.066,22267,7
"E01020547","E06000059",0.14,11424,4
"E01020549","E06000059",0.08,19567,6
"E01020550","E06000059",0.075,20544,7
"E01020551","E06000059",0.164,9253,3
"E01020552","E06000059",0.323,1578,1
"E01020553","E06000059",0.236,4685,2
"E01020554","E06000059",0.244,4292,2
"E01020555","E06000059",0.245,4254,2
"E01020556","E06000059",0.156,9961,4
"E01020557","E06000059",0.037,29433,9
"E01020558","E06000059",0.033,30265,10
"E01020559","E06000059",0.026,31533,10
"E01020560","E06000059",0.047,26786,9
"E01020561","E06000059",0.117,14058,5
"E01020562","E06000059",0.092,17550,6
"E01020563","E06000059",0.171,8729,3
"E01020564","E06000059",0.197,6843,3
"E01020565","E06000059",0.106,15424,5
"E01020566","E06000059",0.071,21250,7
"E01020569","E06000059",0.304,2098,1
"E01020570","E06000059",0.048,26536,9
"E01020571","E06000059",0.146,10876,4
"E01020572","E06000059",0.135,12029,4
"E01020573","E06000059",0.19,7334,3
"E01020574","E06000059",0.144,11039,4
"E01020575","E06000059",0.287,2632,1
"E01020576","E06000059",0.053,25516,8
"E01020577","E06000059",0.092,17613,6
"E01020578","E06000059",0.146,10838,4
"E01020579","E06000059",0.061,23519,8
"E01020580","E06000059",0.065,22574,7
"E01020581","E06000059",0.11,14996,5
"E01020582","E06000059",0.219,5613,2
"E01020583","E06000059",0.059,23973,8
"E01020584","E06000059",0.127,12920,4
"E01020585","E06000059",0.154,10110,4
"E01020586","E06000059",0.078,19980,7
"E01020587","E06000059",0.116,14160,5
"E01020588","E06000059",0.069,21744,7
"E01020589","E06000059",0.13,12544,4
"E01032641","E06000059",0.1,16256,5
"E01032642","E06000059",0.07,21420,7
"E01032643","E06000059",0.067,22129,7
"E01032644","E06000059",0.167,9039,3
"E01032645","E06000059",0.164,9321,3
"E01033154","E06000059",0.013,32698,10
"E01033156","E06000059",0.058,24279,8
"E01033158","E06000059",0.041,28335,9
"E01033159","E06000059",0.034,30105,10
"E01033200","E06000059",0.154,10116,4
"E01024190","E07000108",0.113,14535,5
"E01024191","E07000108",0.145,10995,4
"E01024192","E07000108",0.208,6175,2
"E01024193","E07000108",0.286,2685,1
"E01024194","E07000108",0.156,9955,4
"E01024195","E07000108",0.167,9042,3
"E01024196","E07000108",0.279,2913,1
"E01024197","E07000108",0.146,10824,4
"E01024198","E07000108",0.091,17747,6
"E01024200","E07000108",0.071,21197,7
"E01024201","E07000108",0.085,18648,6
"E01024202","E07000108",0.138,11668,4
"E01024203","E07000108",0.051,25859,8
"E01024204","E07000108",0.153,10237,4
"E01024205","E07000108",0.122,13432,5
"E01024206","E07000108",0.088,18246,6
"E01024207","E07000108",0.078,19981,7
"E01024208","E07000108",0.129,12621,4
"E01024209","E07000108",0.082,19277,6
"E01024212","E07000108",0.083,19069,6
"E01024213","E07000108",0.049,26476,9
"E01024214","E07000108",0.238,4604,2
"E01024215","E07000108",0.287,2650,1
"E01024216","E07000108",0.11,14958,5
"E01024217","E07000108",0.19,7271,3
"E01024218","E07000108",0.269,3258,1
"E01024219","E07000108",0.2,6657,3
"E01024220","E07000108",0.107,15331,5
"E01024221","E07000108",0.058,24187,8
"E01024222","E07000108",0.165,9166,3
"E01024223","E07000108",0.142,11244,4
"E01024224","E07000108",0.074,20706,7
"E01024225","E07000108",0.118,13995,5
"E01024226","E07000108",0.165,9248,3
"E01024227","E07000108",0.13,12514,4
"E01024228","E07000108",0.128,12758,4
"E01024229","E07000108",0.139,11578,4
"E01024230","E07000108",0.103,15936,5
"E01024231","E07000108",0.119,13790,5
"E01024232","E07000108",0.071,21253,7
"E01024233","E07000108",0.026,31481,10
"E01024234","E07000108",0.045,27336,9
"E01024235","E07000108",0.062,23253,8
"E01024236","E07000108",0.076,20198,7
"E01024237","E07000108",0.056,24809,8
"E01024238","E07000108",0.098,16590,6
"E01024239","E07000108",0.17,8827,3
"E01024240","E07000108",0.402,380,1
"E01024241","E07000108",0.215,5793,2
"E01024242","E07000108",0.055,24865,8
"E01024243","E07000108",0.163,9341,3
"E01024244","E07000108",0.07,21451,7
"E01024245","E07000108",0.072,21091,7
"E01024246","E07000108",0.218,5661,2
"E01024247","E07000108",0.205,6390,2
"E01024248","E07000108",0.223,5344,2
"E01024249","E07000108",0.221,5479,2
"E01024250","E07000108",0.106,15455,5
"E01024251","E07000108",0.101,16188,5
"E01024252","E07000108",0.096,17024,6
"E01024253","E07000108",0.046,27042,9
"E01024254","E07000108",0.119,13837,5
"E01024255","E07000108",0.059,23989,8
"E01024256","E07000108",0.061,23602,8
"E01033209","E07000108",0.146,10832,4
"E01033210","E07000108",0.053,25418,8
"E01033211","E07000108",0.241,4445,2
"E01009719","E08000027",0.092,17610,6
"E01009720","E08000027",0.038,29138,9
"E01009721","E08000027",0.151,10410,4
"E01009722","E08000027",0.061,23560,8
"E01009723","E08000027",0.036,29540,9
"E01009724","E08000027",0.041,28379,9
"E01009725","E08000027",0.289,2543,1
"E01009726","E08000027",0.064,22721,7
"E01009727","E08000027",0.049,26381,9
"E01009728","E08000027",0.04,28710,9
"E01009729","E08000027",0.133,12242,4
"E01009730","E08000027",0.057,24345,8
"E01009731","E08000027",0.096,16994,6
"E01009732","E08000027",0.218,5640,2
"E01009733","E08000027",0.404,361,1
"E01009734","E08000027",0.152,10283,4
"E01009735","E08000027",0.041,28304,9
"E01009736","E08000027",0.063,23060,8
"E01009737","E08000027",0.086,18502,6
"E01009738","E08000027",0.154,10142,4
"E01009739","E08000027",0.156,9967,4
"E01009740","E08000027",0.22,5525,2
"E01009741","E08000027",0.271,3175,1
"E01009742","E08000027",0.241,4441,2
"E01009743","E08000027",0.286,2674,1
"E01009744","E08000027",0.244,4323,2
"E01009745","E08000027",0.103,15884,5
"E01009746","E08000027",0.29,2520,1
"E01009747","E08000027",0.254,3868,2
"E01009748","E08000027",0.306,2048,1
"E01009749","E08000027",0.114,14463,5
"E01009750","E08000027",0.175,8411,3
"E01009751","E08000027",0.233,4825,2
"E01009752","E08000027",0.293,2430,1
"E01009753","E08000027",0.318,1710,1
"E01009754","E08000027",0.228,5068,2
"E01009756","E08000027",0.328,1470,1
"E01009757","E08000027",0.213,5915,2
"E01009758","E08000027",0.323,1575,1
"E01009759","E08000027",0.098,16574,6
"E01009760","E08000027",0.178,8222,3
"E01009762","E08000027",0.408,339,1
"E01009763","E08000027",0.214,5866,2
"E01009764","E08000027",0.069,21651,7
"E01009765","E08000027",0.1,16331,5
"E01009766","E08000027",0.148,10694,4
"E01009767","E08000027",0.157,9876,4
"E01009768","E08000027",0.177,8230,3
"E01009769","E08000027",0.313,1848,1
"E01009770","E08000027",0.182,7916,3
"E01009771","E08000027",0.071,21244,7
"E01009772","E08000027",0.22,5561,2
"E01009773","E08000027",0.195,6976,3
"E01009774","E08000027",0.101,16226,5
"E01009775","E08000027",0.189,7352,3
"E01009776","E08000027",0.098,16657,6
"E01009777","E08000027",0.187,7543,3
"E01009778","E08000027",0.097,16728,6
"E01009779","E08000027",0.138,11629,4
"E01009780","E08000027",0.053,25349,8
"E01009781","E08000027",0.209,6173,2
"E01009782","E08000027",0.201,6611,3
"E01009783","E08000027",0.201,6620,3
"E01009784","E08000027",0.037,29383,9
"E01009785","E08000027",0.07,21446,7
"E01009786","E08000027",0.299,2241,1
"E01009787","E08000027",0.047,26995,9
"E01009788","E08000027",0.256,3751,2
"E01009789","E08000027",0.084,18873,6
"E01009790","E08000027",0.211,6036,2
"E01009791","E08000027",0.128,12799,4
"E01009792","E08000027",0.222,5407,2
"E01009793","E08000027",0.062,23156,8
